sample_id,positive_png_count
T25-415_B3-4_H-BMO-35_SMA,28
T25-415_A7-2_H-BMO-92_SMA,2
T25-415_A12-2_H-BMO-50_SMA,7
T25-415_A11-2_H-BMO-78_SMA,9
T25-415_A6-2_H-BMO-73_SMA,20
T25-415_B6-4_H-BMO-83_SMA,3
T25-415_B4-4_H-BMO-65_SMA,11
T25-415_B9-4_H-BMO-140_SMA,24
T25-415_B5-4_H-BMO-66_SMA,40
T25-415_A13-2_H-BMO-55_SMA,10
T25-415_A8-2_H-BMO-93_SMA,2
T25-415_B11-4_H-BMO-162_SMA,12
T25-415_B1-4_H-BMO-43_SMA_Research_Histo,3
T25-415_A5-2_H-BMO-110_SMA,3
T25-415_A3-2_H-BMO-106_SMA,18
h-BMO-18_aSMA,68
T25-415_B15-4_H-BMO-151_SMA,9
T25-415_A2-2_H-BMO-101_SMA,13
T25-415_A1-2_H-BMO-77_SMA,2
T25-415_B16-4_H-BMO-111_SMA,5
T25-415_B8-4_H-BMO-24_SMA,2
T25-415_B13-4_H-BMO-178_SMA,10
T25-415_B7-4_H-BMO-120_SMA,7
T25-415_A10-2_H-BMO-97_SMA,7
